CUSTOMER_ID,CHURN_PROBABILITY,CHURN_LABEL,CLIENT_TO_CONTACT,DISCOUNT
C100491,0.98,STAY,NO,0.0
C100506,0.9,STAY,NO,0.0
C100512,0.99,STAY,NO,0.0
C100515,0.99,STAY,NO,0.0
C100517,0.53,STAY,NO,0.0
C100524,0.96,LEAVE,YES,184.32
C100532,1.0,STAY,NO,0.0
C100534,0.94,LEAVE,YES,39.48
C100537,0.98,STAY,NO,0.0
C100538,0.98,STAY,NO,0.0
C100546,0.74,STAY,NO,0.0
C100554,0.99,STAY,NO,0.0
C100557,0.93,STAY,NO,0.0
C100561,0.93,STAY,NO,0.0
C100567,0.98,LEAVE,YES,191.1
C100568,0.98,STAY,NO,0.0
C100570,0.99,STAY,NO,0.0
C100574,0.82,STAY,NO,0.0
C100576,0.85,STAY,NO,0.0
C100578,0.87,STAY,NO,0.0
C100580,0.73,STAY,NO,0.0
C100585,0.94,STAY,NO,0.0
C100587,0.96,LEAVE,YES,148.8
C100591,0.92,LEAVE,YES,193.2
C100595,0.98,STAY,NO,0.0
C100596,0.67,LEAVE,YES,141.37
C100598,0.91,LEAVE,NOT,0.0
C100599,0.91,STAY,NO,0.0
C100609,0.66,LEAVE,YES,133.98
C100611,1.0,LEAVE,YES,136.0
C100614,0.76,STAY,NO,0.0
C100616,1.0,STAY,NO,0.0
C100617,0.93,STAY,NO,0.0
C100623,0.97,STAY,NO,0.0
C100630,0.92,LEAVE,YES,136.16
C100631,0.73,STAY,NO,0.0
C100632,0.97,STAY,NO,0.0
C100634,0.55,STAY,NO,0.0
C100643,0.84,STAY,NO,0.0
C100644,0.81,LEAVE,YES,155.52
C100647,0.98,STAY,NO,0.0
C100649,0.52,STAY,NO,0.0
C100651,0.93,STAY,NO,0.0
C100652,0.52,LEAVE,YES,86.32
C100659,0.7,LEAVE,NOT,0.0
C100663,0.98,STAY,NO,0.0
C100667,0.9,STAY,NO,0.0
C100669,0.83,STAY,NO,0.0
C100675,0.87,STAY,NO,0.0
C100679,0.99,STAY,NO,0.0
C100684,0.77,STAY,NO,0.0
C100687,0.98,STAY,NO,0.0
C100688,0.86,LEAVE,YES,41.28
C100708,0.69,STAY,NO,0.0
C100711,0.81,STAY,NO,0.0
C100713,0.99,STAY,NO,0.0
C100714,0.99,STAY,NO,0.0
C100730,1.0,STAY,NO,0.0
C100731,0.89,LEAVE,YES,167.32
C100733,0.99,STAY,NO,0.0
C100736,1.0,STAY,NO,0.0
C100737,1.0,STAY,NO,0.0
C100748,0.99,LEAVE,YES,183.15
C100756,0.94,LEAVE,YES,165.44
C100761,0.91,LEAVE,YES,187.46
C100765,0.75,STAY,NO,0.0
C100766,0.83,STAY,NO,0.0
C100775,0.88,STAY,NO,0.0
C100782,0.89,LEAVE,YES,170.88
C100785,0.95,LEAVE,YES,145.35
C100793,0.74,STAY,NO,0.0
C100794,0.82,STAY,NO,0.0
C100795,0.74,LEAVE,YES,175.38
C100802,0.85,STAY,NO,0.0
C100806,0.94,LEAVE,YES,165.44
C100814,0.71,STAY,NO,0.0
C100817,0.84,LEAVE,NOT,0.0
C100818,0.97,STAY,NO,0.0
C100826,1.0,STAY,NO,0.0
C100833,0.91,LEAVE,YES,208.39
C100835,0.56,STAY,NO,0.0
C100839,1.0,STAY,NO,0.0
C100840,0.57,LEAVE,YES,107.16
C100841,1.0,STAY,NO,0.0
C100850,1.0,STAY,NO,0.0
C100853,1.0,LEAVE,YES,197.0
C100856,0.73,STAY,NO,0.0
C100858,0.79,STAY,NO,0.0
C100861,1.0,STAY,NO,0.0
C100863,1.0,STAY,NO,0.0
C100864,0.84,STAY,NO,0.0
C100865,0.78,STAY,NO,0.0
C100866,0.61,STAY,NO,0.0
C100871,0.97,STAY,NO,0.0
C100874,0.87,STAY,NO,0.0
C100875,0.58,LEAVE,YES,42.92
C100876,0.96,STAY,NO,0.0
C100880,0.99,STAY,NO,0.0
C100881,0.99,STAY,NO,0.0
C100882,0.58,LEAVE,YES,28.42
C100894,0.53,STAY,NO,0.0
C100903,0.98,STAY,NO,0.0
C100904,0.69,LEAVE,YES,37.26
C100908,0.83,STAY,NO,0.0
C100914,0.94,STAY,NO,0.0
C100915,0.81,LEAVE,NOT,0.0
C100916,0.75,LEAVE,YES,49.5
C100918,0.61,LEAVE,YES,31.72
C100919,0.53,LEAVE,NOT,0.0
C100920,0.78,STAY,NO,0.0
C100922,1.0,STAY,NO,0.0
C100926,0.88,STAY,NO,0.0
C100936,0.99,LEAVE,YES,50.49
C100937,0.58,LEAVE,YES,29.58
C100938,0.99,STAY,NO,0.0
C100943,0.72,LEAVE,YES,36.0
C100945,0.55,STAY,NO,0.0
C100946,0.87,STAY,NO,0.0
C100950,0.98,LEAVE,YES,178.36
C100951,0.96,LEAVE,YES,148.8
C100964,0.96,LEAVE,YES,171.84
C100968,0.96,LEAVE,YES,180.48
C100973,0.98,LEAVE,YES,164.64
C100981,0.8,STAY,NO,0.0
C100987,0.57,LEAVE,NOT,0.0
C100989,0.99,LEAVE,NOT,0.0
C100994,0.82,STAY,NO,0.0
C100997,1.0,STAY,NO,0.0
C101007,0.69,STAY,NO,0.0
C101008,0.99,STAY,NO,0.0
C101019,0.99,STAY,NO,0.0
C101027,0.99,STAY,NO,0.0
C101036,0.98,STAY,NO,0.0
C101041,0.72,STAY,NO,0.0
C101042,0.61,STAY,NO,0.0
C101046,0.8,LEAVE,YES,46.4
C101048,0.84,STAY,NO,0.0
C101051,0.89,LEAVE,YES,194.02
C101053,0.88,STAY,NO,0.0
C101057,0.98,STAY,NO,0.0
C101063,0.98,STAY,NO,0.0
C101069,1.0,STAY,NO,0.0
C101079,0.58,LEAVE,NOT,0.0
C101080,0.99,STAY,NO,0.0
C101088,0.64,STAY,NO,0.0
C101089,0.83,LEAVE,YES,34.86
C101090,0.9,STAY,NO,0.0
C101091,0.73,STAY,NO,0.0
C101101,0.87,STAY,NO,0.0
C101102,0.53,STAY,NO,0.0
C101104,0.68,LEAVE,YES,38.08
C101111,0.9,STAY,NO,0.0
C101119,0.89,LEAVE,YES,33.82
C101123,0.87,STAY,NO,0.0
C101124,1.0,STAY,NO,0.0
C101126,0.93,STAY,NO,0.0
C101127,0.94,STAY,NO,0.0
C101128,0.6,STAY,NO,0.0
C101136,0.57,LEAVE,YES,137.94
C101138,0.9,STAY,NO,0.0
C101140,0.6,LEAVE,YES,36.0
C101142,0.89,STAY,NO,0.0
C101143,0.98,STAY,NO,0.0
C101145,0.89,STAY,NO,0.0
C101146,0.73,LEAVE,YES,41.61
C101154,0.98,STAY,NO,0.0
C101155,0.67,LEAVE,NOT,0.0
C101164,0.6,STAY,NO,0.0
C101170,0.75,LEAVE,YES,159.75
C101174,0.64,STAY,NO,0.0
C101176,1.0,STAY,NO,0.0
C101177,0.7,LEAVE,YES,117.6
C101181,1.0,STAY,NO,0.0
C101187,0.98,STAY,NO,0.0
C101193,0.59,LEAVE,YES,37.76
C101196,0.89,STAY,NO,0.0
C101200,0.99,STAY,NO,0.0
C101203,1.0,LEAVE,NOT,0.0
C101206,0.78,LEAVE,YES,139.62
C101213,0.94,LEAVE,NOT,0.0
C101218,0.94,STAY,NO,0.0
C101220,0.99,STAY,NO,0.0
C101221,0.78,STAY,NO,0.0
C101228,0.8,LEAVE,YES,134.4
C101239,0.97,LEAVE,YES,184.3
C101253,0.86,STAY,NO,0.0
C101255,0.73,STAY,NO,0.0
C101256,0.98,STAY,NO,0.0
C101258,0.95,STAY,NO,0.0
C101264,0.98,LEAVE,NOT,0.0
C101269,0.98,STAY,NO,0.0
C101274,0.59,STAY,NO,0.0
C101279,0.66,LEAVE,NOT,0.0
C101281,0.89,STAY,NO,0.0
C101286,0.51,LEAVE,YES,33.15
C101287,0.83,STAY,NO,0.0
C101289,0.98,STAY,NO,0.0
C101290,0.82,LEAVE,YES,45.1
C101300,0.99,STAY,NO,0.0
C101304,1.0,STAY,NO,0.0
C101309,0.87,STAY,NO,0.0
C101327,0.53,LEAVE,YES,88.51
C101335,0.89,LEAVE,YES,154.86
C101336,0.85,LEAVE,NOT,0.0
C101338,0.69,STAY,NO,0.0
C101349,0.84,STAY,NO,0.0
C101351,0.71,LEAVE,YES,134.19
C101352,0.68,LEAVE,NOT,0.0
C101353,0.86,STAY,NO,0.0
C101356,1.0,STAY,NO,0.0
C101359,0.94,STAY,NO,0.0
C101360,0.82,STAY,NO,0.0
C101368,0.64,STAY,NO,0.0
C101370,0.55,STAY,NO,0.0
C101372,0.93,LEAVE,YES,145.08
C101374,0.97,STAY,NO,0.0
C101375,0.52,STAY,NO,0.0
C101376,0.9,STAY,NO,0.0
C101379,0.99,STAY,NO,0.0
C101380,0.96,LEAVE,YES,67.2
C101384,0.71,STAY,NO,0.0
C101386,0.71,LEAVE,YES,45.44
C101389,0.6,LEAVE,YES,30.0
C101391,0.9,LEAVE,YES,168.3
C101393,0.8,STAY,NO,0.0
C101395,0.98,LEAVE,NOT,0.0
C101403,0.95,LEAVE,YES,153.9
C101404,0.62,LEAVE,YES,114.7
C101406,0.53,STAY,NO,0.0
C101410,0.95,LEAVE,YES,42.75
C101412,0.98,STAY,NO,0.0
C101416,0.99,STAY,NO,0.0
C101432,0.81,STAY,NO,0.0
C101437,0.73,LEAVE,YES,20.44
C101439,0.98,STAY,NO,0.0
C101443,0.99,LEAVE,YES,142.56
C101445,0.94,STAY,NO,0.0
C101446,0.62,LEAVE,YES,21.08
C101449,0.83,LEAVE,NOT,0.0
C101450,0.64,STAY,NO,0.0
C101451,1.0,STAY,NO,0.0
C101457,0.9,STAY,NO,0.0
C101459,0.93,STAY,NO,0.0
C101460,0.87,STAY,NO,0.0
C101462,0.81,LEAVE,YES,27.54
C101469,0.85,STAY,NO,0.0
C101473,1.0,LEAVE,NOT,0.0
C101474,0.61,LEAVE,YES,24.4
C101479,0.66,LEAVE,YES,33.66
C101485,1.0,STAY,NO,0.0
C101501,0.91,STAY,NO,0.0
C101503,0.96,STAY,NO,0.0
C101516,0.89,STAY,NO,0.0
C101524,0.51,LEAVE,YES,117.81
C101528,0.88,STAY,NO,0.0
C101532,0.99,STAY,NO,0.0
C101534,0.57,STAY,NO,0.0
C101535,0.99,STAY,NO,0.0
C101538,0.99,LEAVE,YES,201.96
C101546,0.99,STAY,NO,0.0
C101549,0.72,STAY,NO,0.0
C101551,0.97,LEAVE,YES,190.12
C101559,0.99,STAY,NO,0.0
C101562,1.0,STAY,NO,0.0
C101563,1.0,STAY,NO,0.0
C101565,0.97,LEAVE,NOT,0.0
C101566,0.91,STAY,NO,0.0
C101567,0.73,STAY,NO,0.0
C101573,1.0,STAY,NO,0.0
C101576,0.81,STAY,NO,0.0
C101577,0.51,LEAVE,NOT,0.0
C101579,0.98,STAY,NO,0.0
C101585,0.88,STAY,NO,0.0
C101589,0.87,STAY,NO,0.0
C101590,0.94,STAY,NO,0.0
C101592,0.8,STAY,NO,0.0
C101595,0.57,STAY,NO,0.0
C101603,0.85,STAY,NO,0.0
C101605,0.99,LEAVE,YES,186.12
C101606,0.99,STAY,NO,0.0
C101611,0.92,STAY,NO,0.0
C101614,0.95,STAY,NO,0.0
C101615,0.75,LEAVE,NOT,0.0
C101623,0.6,STAY,NO,0.0
C101624,0.74,LEAVE,NOT,0.0
C101625,0.94,STAY,NO,0.0
C101631,0.9,STAY,NO,0.0
C101634,0.98,LEAVE,YES,147.0
C101635,0.93,STAY,NO,0.0
C101636,0.99,LEAVE,YES,178.2
C101649,0.8,STAY,NO,0.0
C101650,0.82,LEAVE,YES,50.02
C101661,0.98,STAY,NO,0.0
C101665,0.59,STAY,NO,0.0
C101673,0.99,STAY,NO,0.0
C101674,0.99,STAY,NO,0.0
C101679,0.51,LEAVE,NOT,0.0
C101680,0.96,STAY,NO,0.0
C101685,1.0,STAY,NO,0.0
C101698,0.76,STAY,NO,0.0
C101701,0.7,LEAVE,NOT,0.0
C101702,0.94,LEAVE,YES,77.08
C101703,0.9,STAY,NO,0.0
C101705,0.68,STAY,NO,0.0
C101708,0.99,STAY,NO,0.0
C101709,0.69,STAY,NO,0.0
C101712,0.95,STAY,NO,0.0
C101714,0.95,LEAVE,NOT,0.0
C101718,0.97,LEAVE,YES,52.38
C101722,0.82,STAY,NO,0.0
C101726,0.85,STAY,NO,0.0
C101727,0.99,LEAVE,YES,63.36
C101728,0.85,STAY,NO,0.0
C101733,0.66,STAY,NO,0.0
C101738,0.93,STAY,NO,0.0
C101744,0.7,STAY,NO,0.0
C101747,0.98,LEAVE,YES,52.92
C101752,1.0,STAY,NO,0.0
C101753,0.99,STAY,NO,0.0
C101754,0.98,STAY,NO,0.0
C101756,0.96,STAY,NO,0.0
C101757,0.95,STAY,NO,0.0
C101766,0.76,LEAVE,YES,158.84
C101771,0.99,STAY,NO,0.0
C101780,0.99,LEAVE,NOT,0.0
C101787,0.81,STAY,NO,0.0
C101791,0.62,LEAVE,YES,133.92
C101792,0.98,STAY,NO,0.0
C101793,0.58,LEAVE,YES,25.52
C101797,0.9,STAY,NO,0.0
C101798,1.0,STAY,NO,0.0
C101805,0.75,STAY,NO,0.0
C101806,0.98,STAY,NO,0.0
C101808,0.79,LEAVE,NOT,0.0
C101810,0.97,STAY,NO,0.0
C101814,0.63,LEAVE,NOT,0.0
C101829,0.51,LEAVE,NOT,0.0
C101838,0.83,STAY,NO,0.0
C101839,0.95,STAY,NO,0.0
C101843,0.77,STAY,NO,0.0
C101852,0.98,STAY,NO,0.0
C101858,1.0,STAY,NO,0.0
C101859,0.71,LEAVE,YES,91.59
C101861,0.96,LEAVE,NOT,0.0
C101864,0.82,LEAVE,NOT,0.0
C101867,0.98,LEAVE,YES,204.82
C101872,1.0,STAY,NO,0.0
C101877,0.96,STAY,NO,0.0
C101879,0.52,STAY,NO,0.0
C101880,0.68,STAY,NO,0.0
C101885,0.59,LEAVE,YES,123.31
C101887,0.87,STAY,NO,0.0
C101891,0.9,STAY,NO,0.0
C101892,0.8,STAY,NO,0.0
C101896,0.95,STAY,NO,0.0
C101898,1.0,STAY,NO,0.0
C101901,0.94,STAY,NO,0.0
C101903,1.0,STAY,NO,0.0
C101904,1.0,STAY,NO,0.0
C101908,0.98,STAY,NO,0.0
C101910,0.89,LEAVE,YES,178.89
C101914,0.56,LEAVE,YES,104.16
C101917,0.98,LEAVE,YES,29.4
C101918,1.0,STAY,NO,0.0
C101920,0.98,STAY,NO,0.0
C101927,0.9,STAY,NO,0.0
C101932,0.86,STAY,NO,0.0
C101936,0.93,STAY,NO,0.0
C101938,0.53,LEAVE,YES,21.73
C101940,0.97,STAY,NO,0.0
C101953,0.73,STAY,NO,0.0
C101954,0.83,STAY,NO,0.0
C101956,0.95,LEAVE,YES,57.0
C101968,1.0,STAY,NO,0.0
C101982,0.87,LEAVE,YES,204.45
C101983,0.65,LEAVE,YES,127.4
C101991,0.79,LEAVE,NOT,0.0
C101997,0.64,STAY,NO,0.0
C101998,0.78,STAY,NO,0.0
C101999,0.54,LEAVE,YES,95.58
C102003,0.77,LEAVE,NOT,0.0
C102004,1.0,STAY,NO,0.0
C102009,0.51,LEAVE,YES,29.58
C102014,0.67,STAY,NO,0.0
C102017,1.0,STAY,NO,0.0
C102019,0.78,LEAVE,YES,176.28
C102035,0.99,STAY,NO,0.0
C102036,0.91,LEAVE,YES,133.77
C102038,0.97,STAY,NO,0.0
C102040,0.82,STAY,NO,0.0
C102041,1.0,STAY,NO,0.0
C102042,0.93,STAY,NO,0.0
C102049,0.77,LEAVE,NOT,0.0
C102050,0.74,STAY,NO,0.0
C102051,0.68,STAY,NO,0.0
C102054,0.58,STAY,NO,0.0
C102055,0.99,STAY,NO,0.0
C102058,0.92,STAY,NO,0.0
C102063,0.98,LEAVE,YES,160.72
C102066,0.94,STAY,NO,0.0
C102069,0.75,STAY,NO,0.0
C102075,0.81,STAY,NO,0.0
C102076,1.0,STAY,NO,0.0
C102083,0.96,STAY,NO,0.0
C102090,1.0,STAY,NO,0.0
C102098,0.68,STAY,NO,0.0
C102099,0.97,STAY,NO,0.0
C102102,0.66,STAY,NO,0.0
C102111,0.65,STAY,NO,0.0
C102120,0.6,STAY,NO,0.0
C102128,0.99,STAY,NO,0.0
C102130,0.98,STAY,NO,0.0
C102133,0.97,STAY,NO,0.0
C102135,1.0,STAY,NO,0.0
C102138,0.99,LEAVE,YES,144.54
C102140,0.8,STAY,NO,0.0
C102147,0.69,LEAVE,YES,49.68
C102149,0.99,STAY,NO,0.0
C102150,0.99,STAY,NO,0.0
C102153,0.96,STAY,NO,0.0
C102156,0.92,STAY,NO,0.0
C102159,0.74,STAY,NO,0.0
C102161,0.95,STAY,NO,0.0
C102162,0.83,STAY,NO,0.0
C102166,0.92,STAY,NO,0.0
C102168,0.94,STAY,NO,0.0
C102170,1.0,STAY,NO,0.0
C102172,0.9,LEAVE,NOT,0.0
C102176,0.53,LEAVE,NOT,0.0
C102183,0.98,STAY,NO,0.0
C102198,1.0,STAY,NO,0.0
C102203,0.64,STAY,NO,0.0
C102207,0.64,LEAVE,YES,120.96
C102209,0.85,LEAVE,YES,203.15
C102216,0.82,STAY,NO,0.0
C102220,0.81,STAY,NO,0.0
C102224,0.82,LEAVE,NOT,0.0
C102226,0.6,LEAVE,YES,37.8
C102234,1.0,STAY,NO,0.0
C102236,0.99,STAY,NO,0.0
C102239,0.96,LEAVE,YES,47.04
C102247,0.61,LEAVE,YES,87.23
C102250,0.96,STAY,NO,0.0
C102251,0.99,STAY,NO,0.0
C102254,0.96,STAY,NO,0.0
C102255,0.51,LEAVE,YES,116.79
C102257,0.83,STAY,NO,0.0
C102258,0.73,STAY,NO,0.0
C102260,1.0,STAY,NO,0.0
C102266,0.98,STAY,NO,0.0
C102268,1.0,STAY,NO,0.0
C102269,0.56,STAY,NO,0.0
C102271,0.98,STAY,NO,0.0
C102272,0.6,STAY,NO,0.0
C102276,0.55,LEAVE,YES,26.95
C102277,0.99,LEAVE,NOT,0.0
C102278,0.92,STAY,NO,0.0
C102279,0.84,LEAVE,YES,190.68
C102286,0.93,STAY,NO,0.0
C102288,0.81,STAY,NO,0.0
C102289,0.96,STAY,NO,0.0
C102292,0.89,STAY,NO,0.0
C102293,0.68,LEAVE,YES,35.36
C102295,0.74,LEAVE,YES,19.24
C102298,0.97,LEAVE,YES,129.98
C102313,0.91,STAY,NO,0.0
C102316,1.0,STAY,NO,0.0
C102319,0.8,STAY,NO,0.0
C102323,0.91,STAY,NO,0.0
C102324,1.0,STAY,NO,0.0
C102325,0.89,STAY,NO,0.0
C102330,0.66,LEAVE,NOT,0.0
C102339,0.92,STAY,NO,0.0
C102340,0.97,STAY,NO,0.0
C102342,0.85,STAY,NO,0.0
C102343,0.58,STAY,NO,0.0
C102356,0.97,STAY,NO,0.0
C102359,0.87,LEAVE,YES,197.49
C102360,0.89,STAY,NO,0.0
C102368,0.5,STAY,NO,0.0
C102372,0.89,LEAVE,NOT,0.0
C102375,0.98,STAY,NO,0.0
C102384,0.99,STAY,NO,0.0
C102385,0.99,STAY,NO,0.0
C102386,0.78,STAY,NO,0.0
C102388,0.77,STAY,NO,0.0
C102392,0.99,STAY,NO,0.0
C102394,0.96,STAY,NO,0.0
C102398,0.99,STAY,NO,0.0
C102399,0.62,LEAVE,YES,148.8
C102408,0.98,STAY,NO,0.0
C102409,0.99,LEAVE,YES,142.56
C102411,0.98,LEAVE,YES,147.98
C102413,0.76,STAY,NO,0.0
C102418,0.92,STAY,NO,0.0
C102419,0.9,STAY,NO,0.0
C102421,0.96,STAY,NO,0.0
C102424,0.83,STAY,NO,0.0
C102429,0.63,STAY,NO,0.0
C102439,0.66,STAY,NO,0.0
C102443,0.87,LEAVE,YES,32.19
C102444,0.96,STAY,NO,0.0
C102448,0.65,STAY,NO,0.0
C102451,0.7,LEAVE,YES,36.4
C102452,0.56,LEAVE,NOT,0.0
C102453,0.97,LEAVE,YES,159.08
C102454,0.67,STAY,NO,0.0
C102455,0.9,STAY,NO,0.0
C102459,0.53,LEAVE,YES,30.21
C102465,1.0,STAY,NO,0.0
C102466,0.92,STAY,NO,0.0
C102473,0.97,LEAVE,YES,196.91
C102475,0.86,STAY,NO,0.0
C102479,0.6,LEAVE,YES,18.6
C102484,0.76,STAY,NO,0.0
C102496,0.5,LEAVE,NOT,0.0
C102497,0.99,STAY,NO,0.0
C102503,0.87,STAY,NO,0.0
C102508,0.96,LEAVE,YES,190.08
C102512,1.0,STAY,NO,0.0
C102516,1.0,STAY,NO,0.0
C102522,0.88,STAY,NO,0.0
C102537,0.82,LEAVE,YES,178.76
C102539,0.99,LEAVE,NOT,0.0
C102547,1.0,STAY,NO,0.0
C102548,1.0,STAY,NO,0.0
C102551,0.98,STAY,NO,0.0
C102556,0.89,STAY,NO,0.0
C102560,0.99,STAY,NO,0.0
C102561,0.99,LEAVE,YES,184.14
C102570,0.6,STAY,NO,0.0
C102577,0.97,LEAVE,YES,23.28
C102580,0.75,STAY,NO,0.0
C102582,0.92,STAY,NO,0.0
C102589,1.0,STAY,NO,0.0
C102593,1.0,STAY,NO,0.0
C102596,0.95,STAY,NO,0.0
C102597,0.81,STAY,NO,0.0
C102599,0.63,STAY,NO,0.0
C102600,0.97,STAY,NO,0.0
C102601,0.95,LEAVE,YES,195.7
C102603,0.94,LEAVE,YES,195.52
C102606,0.99,LEAVE,YES,223.74
C102608,0.75,LEAVE,NOT,0.0
C102610,0.82,STAY,NO,0.0
C102611,1.0,STAY,NO,0.0
C102618,0.92,STAY,NO,0.0
C102619,0.96,LEAVE,YES,58.56
C102626,0.65,LEAVE,NOT,0.0
C102637,0.99,STAY,NO,0.0
C102640,0.91,STAY,NO,0.0
C102644,0.88,LEAVE,YES,45.76
C102645,0.85,LEAVE,YES,187.0
C102646,0.96,LEAVE,YES,171.84
C102648,0.96,STAY,NO,0.0
C102649,0.5,LEAVE,YES,28.0
C102650,1.0,STAY,NO,0.0
C102659,0.97,STAY,NO,0.0
C102661,0.97,STAY,NO,0.0
C102663,0.98,LEAVE,NOT,0.0
C102668,0.98,LEAVE,YES,197.96
C102669,0.69,STAY,NO,0.0
C102675,0.94,STAY,NO,0.0
C102679,0.99,LEAVE,YES,30.69
C102681,0.65,STAY,NO,0.0
C102683,0.83,LEAVE,YES,50.63
C102685,0.98,STAY,NO,0.0
C102692,0.88,LEAVE,YES,216.48
C102695,0.88,STAY,NO,0.0
C102700,0.96,STAY,NO,0.0
C102703,0.81,STAY,NO,0.0
C102704,1.0,STAY,NO,0.0
C102705,0.94,STAY,NO,0.0
C102708,0.99,LEAVE,YES,206.91
C102712,0.95,STAY,NO,0.0
C102715,0.77,STAY,NO,0.0
